Year,Cluster,RA_Center(degree),Dec_Center(degree),radius(arcsecond)
1891,NA,NA,NA,10800
1892,NA,NA,NA,10800
1893,NA,NA,NA,10800
1894,NA,NA,NA,10800
1895,NA,NA,NA,10800
1896,NA,NA,NA,10800
1897,NA,NA,NA,10800
1898,NA,NA,NA,10800
1899,NA,NA,NA,10800
1900,NA,NA,NA,10800
1901,NA,NA,NA,10800
1902,NA,NA,NA,10800
1903,NA,NA,NA,10800
1904,NA,NA,NA,10800
1905,NA,NA,NA,10800
1906,NA,NA,NA,10800
1907,NA,NA,NA,10800
1908,NA,NA,NA,10800
1909,NA,NA,NA,10800
1910,NA,NA,NA,10800
1911,NA,NA,NA,10800
1912,NA,NA,NA,10800
1913,NA,NA,NA,10800
1914,NA,NA,NA,10800
1915,NA,NA,NA,10800
1916,NA,NA,NA,10800
1917,NA,NA,NA,10800
1918,NA,NA,NA,10800
1919,NA,NA,NA,10800
1920,NA,NA,NA,10800
1921,NA,NA,NA,10800
1922,NA,NA,NA,10800
1923,NA,NA,NA,10800
1924,0,285.272094195122,-13.418394634146342,10800
1925,0,115.25379009090908,-25.98657793181818,10800
1926,NA,NA,NA,10800
1927,NA,NA,NA,10800
1928,NA,NA,NA,10800
1929,NA,NA,NA,10800
1930,NA,NA,NA,10800
1931,NA,NA,NA,10800
1932,NA,NA,NA,10800
1933,NA,NA,NA,10800
1934,0,81.99139052000001,-68.38872099999999,10800
1935,NA,NA,NA,10800
1936,NA,NA,NA,10800
1937,0,192.447196775,-62.32543525000001,10800
1938,NA,NA,NA,10800
1939,NA,NA,NA,10800
1940,0,13.408410735849056,-72.68725992452829,10800
1941,NA,NA,NA,10800
1942,NA,NA,NA,10800
1943,NA,NA,NA,10800
1944,0,172.52480511904764,-60.78654745238096,10800
1945,NA,NA,NA,10800
1946,NA,NA,NA,10800
1947,NA,NA,NA,10800
1948,0,271.6283789767442,-33.7141256744186,10800
1948,1,13.228599800000005,-72.79902769090909,10800
1949,0,271.309184627907,-33.52960713953488,10800
1950,0,172.95496507547165,-60.55585560377359,10800
1950,1,271.80035981437123,-31.830005359281447,10800
1950,2,257.4157462352941,15.046204,10800
1951,NA,NA,NA,10800
1952,NA,NA,NA,10800
1953,NA,NA,NA,10800
1954,NA,NA,NA,10800
1955,NA,NA,NA,10800
1956,NA,NA,NA,10800
1957,NA,NA,NA,10800
1958,NA,NA,NA,10800
1959,NA,NA,NA,10800
1960,NA,NA,NA,10800
1961,NA,NA,NA,10800
1962,NA,NA,NA,10800
1963,NA,NA,NA,10800
1964,NA,NA,NA,10800
1965,NA,NA,NA,10800
1966,NA,NA,NA,10800
1967,NA,NA,NA,10800
1968,NA,NA,NA,10800
1969,NA,NA,NA,10800
1970,NA,NA,NA,10800
1971,NA,NA,NA,10800
1972,NA,NA,NA,10800
1973,NA,NA,NA,10800
1974,NA,NA,NA,10800
1975,NA,NA,NA,10800
1976,NA,NA,NA,10800
1977,NA,NA,NA,10800
1978,NA,NA,NA,10800
1979,NA,NA,NA,10800
1980,NA,NA,NA,10800
1981,NA,NA,NA,10800
1982,NA,NA,NA,10800
1983,NA,NA,NA,10800
1984,NA,NA,NA,10800
1985,NA,NA,NA,10800
1986,NA,NA,NA,10800
1987,NA,NA,NA,10800
1988,NA,NA,NA,10800
