Plate ID, Date, Author, Notebook
a15429, 1931-06-11T00:04:19.2Z, ['Dorrit Hoffleit', 'Cecilia Payne-Gaposchkin'], ['phaedra2536']
a01632, 1895-09-02T02:08:09.6Z, None, None
a13624, 1925-12-20T01:37:55.2Z, ['Virginia McKibben Nail', 'R. K. Marshall', 'Frances Woodworth Wright', 'Dorrit Hoffleit', 'Cecilia Payne-Gaposchkin', 'A. F. Swain'], ['phaedra2430', 'phaedra2432', 'phaedra2536']
a09441, 1909-06-28T02:24:00Z, ['Ida E. Woods'], ['phaedra2471']
a03630, 1899-06-13T04:39:21.6Z, ['Madalen R. Dwyer', 'Henrietta Swan Leavitt', 'Cecilia Payne-Gaposchkin'], ['phaedra1130', 'phaedra2520']
a14028, 1926-09-07T03:04:19.2Z, ['Kazutomo Takayanagi'], ['phaedra2651']
a19095, 1937-02-03T01:27:50.4Z, None, None
a19454, 1937-06-11T21:17:16.8Z, None, None
a02315, 1897-05-27T00:59:02.4Z, None, None
a12170, 1922-09-02T01:56:38.4Z, None, None
a12704, 1923-09-28T00:40:19.2Z, None, None
a11753, 1918-07-19T02:53:48.8Z, None, None
a16707, 1934-01-16T20:42:43.2Z, ['Virginia McKibben Nail', 'R. A. Craig', 'Jenka Mohr', 'Frances Woodworth Wright'], ['phaedra2439', 'phaedra2449', 'phaedra2431', 'phaedra2448', 'phaedra2455', 'phaedra2443', 'phaedra2459']
a12119, 1922-08-03T04:00:28.8Z, None, None
a15774, None, None, None
a19267, 1937-04-15T22:56:38.4Z, None, None
