Object Type,Mean Count
RSCVnV*,15
Star,33186
LongPeriodV*,14720
SB*,1284
Variable*,571
LongPeriodV*_Candidate,470
EclBin,29480
RRLyrae,4462
HighPM*,414
YSO_Candidate,100
Mira,654
delSctV*,1534
**,311
EclBin_Candidate,34
PulsV*,340
ChemPec*,34
S*,34
C*,798
Type2Cep,54
PlanetaryNeb,69
alf2CVnV*,1
EmLine*,1033
HotSubdwarf,11
HotSubdwarf_Candidate,21
ClassicalCep,1791
gammaDorV*,33
RefNeb,1
HighVel*,3
Nova,3
OH/IR*,2
Blend,7
Be*,275
YSO,116
OpenCluster,10
AGB*_Candidate,77
Galaxy,12
RRLyrae_Candidate,2
RedSG,166
HighMassXBin,98
EllipVar,1153
AGN,38
PlanetaryNeb_Candidate,12
Cluster*,59
post-AGB*_Candidate,42
Supergiant,34
OrionV*,8
BlueSG,79
Cepheid,28
HighMassXBin_Candidate,3
WolfRayet*,31
QSO_Candidate,24
ISM,4
YellowSG_Candidate,4
GlobCluster,1
Infrared,3
RVTauV*,10
HIIReg,5
YellowSG,72
EmObj,8
Association,5
RGB*,25
post-AGB*,1
AGB*,11
BlueSG_Candidate,8
WhiteDwarf,3
WhiteDwarf_Candidate,1
NearIR,31
Be*_Candidate,385
RedSG_Candidate,642
BlueStraggler,3
bCepV*_Candidate,1
bCepV*,3
RGB*_Candidate,20651
Ae*,5
QSO,28
Supergiant_Candidate,6
RCrBV*,4
Symbiotic*,10
C*_Candidate,7
MidIR,6
CataclyV*,1
Supernova,1
CataclyV*_Candidate,1
AGN_Candidate,1
